Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
15ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΚΑΡΝΑΝΙΑΣ 65,04-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ2
4ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ,Εθνικής Αντιστάσεως 45 & Λευκάδος,04-11-2020,Αναστέλλουν τη λειτουργία τους τα B3 & B- ΑΝΘΡΩΠΙΣΤΙΚΟΥ ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΥ
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΟΛΙΧΝΙΤΟΥ ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΣ,07-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β1 & Β2
1ο ΕΠΑΛ ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΜΙΣΟΥ  ΚΑΙ ΚΗΦΙΣΟΥ  2,03-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ ΝΟΣΗΛΕΥΤΙΚΗΣ & Γ ΟΧΗΜΑΤΩΝ έως και 2/11/2020  και το Α3 εώς και 03-11-2020 
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ,ΠΡΑΞΙΤΕΛΟΥΣ ΤΕΡΜΑ,01-11-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα: Β1, Β2, Β3 & Β4"
5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΤΕΡΜΑ  ΣΤ. ΒΛΑΧΟΠΟΥΛΟΥ,05-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β2
5ο ΓΥΜΝΑΣΙΟ ΚΕΡΑΤΣΙΝΙΟΥ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,ΣΩΚΡΑΤΟΥΣ  217,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β4 και Α1 
1ο ΕΠΑΛ ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,3ο ΧΛΜ ΦΛΩΡΙΝΑΣ-ΝΙΚΗΣ,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ ΒΟΗΘΩΝ ΝΟΣΗΛΕΥΤΩΝ
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,Γ. ΡΙΤΣΟΥ 6,04-11-2020,Αναστέλλει τη λειτουργία του το Γ3
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΕΑΣ ΖΙΧΝΗΣ ΣΕΡΡΩΝ,ΝΕΑΣ ΖΙΧΝΗΣ,Ν. ΖΙΧΝΗ,01-11-2020,Αναστέλλει τη λειτουργία του το Γ1
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΙΛΚΙΣ 9,03-11-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Γ3, ΓΘΣΥ1 & ΓΟΠ2"
6ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΛΑΜΑΡΙΑΣ,ΚΑΛΑΜΑΡΙΑΣ,ΕΦΕΣΟΥ 3,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β3 & 3 ΘΕΤΙΚΗΣ ΚΑΤΕΥΘΥΝΣΗΣ
ΑΡΣΑΚΕΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ ΤΗΣ Φ.Ε.,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΕΛΑΙΩΝΕΣ ΠΥΛΑΙΑΣ,01-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ3 και Γ Υγείας εώς και 29/10/2020 και τα Γ3 & Γ ΑΝΘΡΩΠΙΣΤΙΚΟΥ έως και την 1/11/2020
13ο ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΚΡΗΤΗΣ-ΚΥΠΡΟΥ ΓΩΝΙΑ,03-11-2020,
2ο ΓΥΜΝΑΣΙΟ ΩΡΑΙΟΚΑΣΤΡΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΑΛΕΞΑΝΔΡΟΣ ΥΨΗΛΑΝΤΗΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΟΔΥΣΣΕΑ ΕΛΥΤΗ 19,29-10-2020,Αναστέλει τη λειτουργία του το Β3
92ο ΝΗΠΙΑΓΩΓΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΤΥΔΕΩΣ 26,03-11-2020,
4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΒΙΩΝ ΚΟΖΑΝΗΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΣΟΛΩΝΟΣ ΚΑΙ 6ΗΣ ΜΑΡΤΙΟΥ,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ1 έως και 27-10-2020  και το Β1 έως και 30/10/2020
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΕΠΑΝΟΥ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΡΕΠΑΝΟ,30-10-2020,Αναστέλλει τη λειτουργία του το Γ1
ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΤΩ ΟΡΕΙΝΗΣ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΑΤΩ ΟΡΕΙΝΗ ΣΕΡΡΩΝ,05-11-2020,
1ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,ΠΛΑΤΩΝΟΣ 11,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Πρωϊνό 1
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,28-10-2020,Αναστέλλει τη λειτουργία του το Ε1
4ο ΕΠΑΛ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΣΙΚΕΛΙΑΝΟΥ ΚΑΙ ΚΑΡΛΑΣ,05-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 και Γ Πληροφορικής εώς και 3/11/2020 και τα Β1 & Β1 ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ έως και 5/11/2020
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΥΛΩΝΑΣ,ΩΡΩΠΟΥ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 17,04-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ1
1ο ΕΠΑΛ ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ,ΓΕΛΑΣ 1,29-10-2020,Αναστέλλει τη λειτουργία του το Γ ΨΥΚΤΙΚΩΝ 
ΝΗΠΙΑΓΩΓΕΙΟ ΔΡΑΜΑΣ ΕΙΔΙΚΟ,ΔΡΑΜΑΣ,ΠΑΡΜΕΝΙΩΝΑ ΤΕΡΜΑ,05-11-2020,
1ο ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΠΑΡΜΕΝΙΩΝΟΣ  ΤΕΡΜΑ,05-11-2020,
ΓΥΜΝΑΣΙΟ ΑΓΙΟΥ ΠΝΕΥΜΑΤΟΣ ΣΕΡΡΩΝ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΑΓΙΟ ΠΝΕΥΜΑ ΣΕΡΡΩΝ,04-11-2020,Αναστέλλει τη λειτουργία της η Γ τάξη
127ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΒΑΡΒΑΚΗ 23,04-11-2020,Αναστέλλει τη λειτουργία του το ΥΠΟΧΡΕΩΤΙΚΟ 2
"1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΑΥΡΟΥ-""Χρίστος Τσολάκης""",ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,ΑΓΙΑΣ ΣΟΦΙΑΣ 16,04-11-2020,Αναστέλλει τη λειτουργία του το Γ2
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΥΡΩΝΑ,ΒΥΡΩΝΟΣ,ΚΩΝΣΤΑΝΤΙΛΙΕΡΗ ΚΑΙ ΕΡΥΘΡΑΙΑΣ,04-11-2020,Αναστέλλουν τη λειτουργία τους τα : Δ1 & ΟΛΟΗΜΕΡΟ Δ ΤΑΞΗΣ
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΡΑΙΔΕΣΤΟΥ,ΘΕΡΜΗΣ,ΤΕΡΜΑ ΘΡΑΚΗΣ,01-11-2020,Αναστέλλει τη λειτουργία του το Δ1
4ο ΓΥΜΝΑΣΙΟ ΠΟΛΙΧΝΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΑΡΧΗ  ΚΗΦΙΣΙΑΣ,02-11-2020,Αναστέλλει τη λειτουργία του το Α2
1ο ΓΥΜΝΑΣΙΟ ΚΟΜΟΤΗΝΗΣ ΡΟΔΟΠΗΣ - ΠΡΩΤΟ ΓΥΜΝΑΣΙΟ ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΣΤΙΛΠΩΝΟΣ ΚΥΡΙΑΚΙΔΗ 93,03-11-2020,Αναστέλλει τη λειτουργία του το Α3
1ο ΕΠΑΛ ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,ΚΡΙΕΖΗ ΚΑΙ ΑΘ.ΔΙΑΚΟΥ,03-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 & Γ Πλοιάρχων έως και 26-10-2020 και τα τμήματα Γ1 Υγείας και Γ Φυσικοθεραπείας έως και 02-11-2020 και το Α2 έως και 3/11/2020
ΓΥΜΝΑΣΙΟ ΣΤΕΦΑΝΟΒΙΚΕΙΟΥ ΜΑΓΝΗΣΙΑΣ - ΓΥΜΝΑΣΙΟ ΣΤΕΦΑΝΟΒΙΚΕΙΟΥ,ΡΗΓΑ ΦΕΡΡΑΙΟΥ,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΣΤΕΦΑΝΟΒΙΚΕΙΟΥ,05-11-2020,
1ο ΕΠΑΛ ΑΧΑΡΝΩΝ - ΛΑΘΕΑ,ΑΧΑΡΝΩΝ,ΠΤΟΛΕΜΑΪΔΟΣ 1,03-11-2020,Αναστέλλει τη λειτουργία του το Α7
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΡΥΜΟΝΙΚΟY,ΗΡΑΚΛΕΙΑΣ,ΣΤΡΥΜΟΝΙΚΟ ΣΕΡΡΩΝ,05-11-2020,Αναστέλλει τη λειτουργία του το Τμήμα Ένταξης
3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΕΜΠΕΔΟΚΛΕΟΥΣ 12,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα: Ολοήμερο 3 εώς και 27/10/2020 και Δ2 έως και 29/10/2020
13ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ,ΣΟΛΩΝΟΣ 5-7,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β2 εώς και 1/11/2020 και το ολοήμερο τμήμα 4 έως και 3/11/2020
3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΟΛΙΧΝΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΤΕΡΜΑ ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΗ,29-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Α2, Γ2 και ΓΟΠ1 εώς και 28/10/2020 και το Α1 έως και 29/10/2020"
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΑΜΑΡΙΑΣ,ΚΑΛΑΜΑΡΙΑΣ,Τ.ΟΙΚΟΝΟΜΙΔΗ 52,29-10-2020,Αναστέλλει τη λειτουργία του το Ε1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 12,05-11-2020,Αναστέλλει τη λειτουργία της η Γ τάξη
4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ,ΟΡΕΣΤΙΔΟΣ,ΠΑΠΑΣΤΕΡΓΙΟΥ 40,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Ε2
2ο ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΣΤΡΑΤΟΠΕΔΟ ΣΤΡΕΜΠΕΝΙΩΤΗ ΝΕΑΠΟΛΗ,29-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1, Α1, Α2, Α3"
2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΙΧΑΛΙΑΣ,ΦΑΡΚΑΔΟΝΑΣ,25ης Μαρτίου 38,04-11-2020,"Αναστέλλουν τη λειτουργία τους οι τάξεις: Α, Β & Γ"
ΜΟΥΣΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΑΣ,ΑΘΗΝΑΙΩΝ,ΔΡΑΚΟΝΤΟΣ 37,29-10-2020,
15ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΛΟΥ,ΒΟΛΟΥ,ΔΑΒΑΚΗ  76,04-11-2020,
24ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΟΛΟΥ,ΒΟΛΟΥ,ΔΑΒΑΚΗ  76,04-11-2020,
6ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,Λ. ΚΑΤΣΩΝΗ ΤΕΡΜΑ ΑΓ. ΜΟΝΗ,02-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β1 και Β2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΤΡΩΤΟΥ,ΦΑΡΚΑΔΟΝΑΣ,Πετρωτό Τρικάλων,02-11-2020,
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΙΧΑΛΙΑΣ,ΦΑΡΚΑΔΟΝΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΟΣ ΙΦΙΤΟΥ 2,03-11-2020,"Αναστέλλουν τη λειτουργία τους οι τάξεις: Α, Γ, Δ & Ε"
26ο ΝΗΠΙΑΓΩΓΕΙΟ ΛΑΜΙΑΣ,ΛΑΜΙΕΩΝ,ΤΑΝΑΓΡΑΣ & ΟΙΝΟΦΥΤΩΝ,30-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Α1 και Α1 ΟΛΟΗΜΕΡΟ
20ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΜΙΑΣ,ΛΑΜΙΕΩΝ,ΑΜΦΙΚΤΥΟΝΩΝ 42,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3
3ο ΝΗΠΙΑΓΩΓΕΙΟ ΛΙΒΑΔΕΙΑΣ,ΛΕΒΑΔΕΩΝ,ΑΝΑΛΗΨΕΩΣ 23,05-11-2020,
6ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΑΜΙΑΣ,ΛΑΜΙΕΩΝ,ΣΟΛΩΝΟΣ 53,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3
5ο ΓΥΜΝΑΣΙΟ ΛΑΜΙΑΣ,ΛΑΜΙΕΩΝ,ΑΜΠΛΙΑΝΙΤΗ 20-22,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2
ΠΕΙΡΑΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ ΡΕΘΥΜΝΟΥ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΚΡΗΤΗΣ,ΡΕΘΥΜΝΗΣ,ΕΥΑΓΓ. ΔΑΣΚΑΛΑΚΗ 3,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3
13ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΙΣΣΑΒΟΥ 8,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α2
ΟΜΙΛΟΣ ΣΧΟΛΕΙΩΝ ΒΙΩΜΑΤΙΚΗΣ ΜΑΘΗΣΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ 12,01-11-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα ΠΡΟΝΗΠΙΑ 1 και 2 έως και 29-10-2020, και τα τμήματα ΝΗΠΙΑ 1 και 2 έως και 01-11-2020 "
4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΡΜΗΣ,ΘΕΡΜΗΣ,ΘΕΣΗ ΑΠΟΘΗΚΕΣ  Τ.Θ. Δ 1091,29-10-2020,
1ο ΠΕΙΡΑΜΑΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΣ/ΝΙΚΗΣ (ΕΝΤΑΓΜΕΝΟ ΣΤΟ ΑΠΘ),ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΓΝΑΤΙΑΣ 132,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Ε2
ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ - ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ «ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ Ο ΝΕΑΠΟΛΙΤΗΣ»,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΝΙΚΟΛΑΟΥ ΚΑΠΑΤΟΥ 6,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β2
5ο ΓΥΜΝΑΣΙΟ ΩΡΑΙΟΚΑΣΤΡΟΥ (Λ.Τ.),ΩΡΑΙΟΚΑΣΤΡΟΥ,"16ο χλμ ΕΠΑΡΧΙΑΚΗΣ ΟΔΟΥ ΘΕΣ/ΝΙΚΗΣ ΜΕΛΙΣΣΟΧΩΡΙΟΥ, Σ",28-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Α Γερμανικών και Β2 έως και 26-10-2020, το τμήμα Α3 έως και 27-10-2020 και το τμήμα Γ1 έως και 28-10-2020 "
5ο ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΣΤΡΑΤΟΠΕΔΟ ΣΤΡΕΜΠΕΝΙΩΤΗ,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α2
4ο ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ - 1901133,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΣΤΡΑΤΟΠΕΔΟ ΣΤΡΕΜΠΕΝΙΩΤΗ,01-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Α1 και ΑΓΓΛΙΚΩΝ
ΙΔΙΩΤΙΚΟ ΛΥΚΕΙΟ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ Ε. ΜΑΝΤΟΥΛΙΔΗ Α.Ε.,ΘΕΡΜΗΣ,Θεσσαλονίκης -  Ν. Μουδανιών,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα ΛΓΕ και ΛΓ4 (ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗ)
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΦΙΛΥΡΟΥ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΦΙΛΥΡΟ,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β1 & Β Θετικής έως και 27-10-2020 και το τμήμα Α3 έως και 28-10-2020
1ο ΓΥΜΝΑΣΙΟ ΠΕΡΑΙΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΡΜΑΪΚΟΥ,ΠΗΓΑΣΟΥ 6,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΜΠΑΚΟΓΙΑΝΝΗ,ΛΑΡΙΣΑΙΩΝ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΛΑΡΙΣΑΣ ΤΡΙΚΑΛΩΝ,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Δ2
2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΟΥΛΗΣ,ΛΑΡΙΣΑΙΩΝ,ΣΤΑΔΙΟΥ 12,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ1
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΡΙΚΑΛΩΝ - ΟΔΥΣΣΕΑΣ ΕΛΥΤΗΣ,ΤΡΙΚΚΑΙΩΝ,ΜΕΤΕΩΡΩΝ 57,02-11-2020,
ΓΥΜΝΑΣΙΟ ΣΚΙΑΘΟΥ ΜΑΓΝΗΣΙΑΣ,ΣΚΙΑΘΟΥ,ΠΑΠΑΔΙΑΜΑΝΤΗ 40,05-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α2 έως και 04-11-2020 και το τμήμα Α4 έως και 05-11-2020
4ο ΓΥΜΝΑΣΙΟ ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ,ΜΙΧΑΗΛ ΑΓΓΕΛΟΥ 55,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ3
1ο ΓΥΜΝΑΣΙΟ ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ ΚΑΣΤΟΡΙΑ,ΟΡΕΣΤΙΔΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ 2,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1 έως και 29-10-2020 και το τμήμα Β1 έως και 03-11-2020
5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΤΡΩΝ,ΠΑΤΡΕΩΝ,Γ ΟΛΥΜΠΙΟΥ 89,04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ1
ΓΥΜΝΑΣΙΟ ΠΑΝΟΠΟΥΛΟΥ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΠΑΝΟΠΟΥΛΟ ΗΛΕΙΑΣ,02-11-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Γ' ΤΑΞΗΣ
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΟΜΟΤΗΝΗΣ ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,ΦΙΛΙΠΠΟΥ 33,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α5
ΣΔΕ - ΣΧΟΛΕΙΟ ΔΕΥΤΕΡΗΣ ΕΥΚΑΙΡΙΑΣ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,Κύπρου & Ψαρρών 28,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3
ΙΕΚ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,"2ο Ενιαίο Λύκειο, Καλλιθέας & Παπάγου 23",04-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1 ΤΕΧΝΙΚΟΣ ΕΦΑΡΜΟΓΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ (ΠΟΛΥΜΕΣΑ/WEB DESIGNER- DEVELOPER/VIDEO GAMES)
"ΙΔΙΩΤΙΚΟ ΛΥΚΕΙΟ ΕΛΛΗΝΟΓΑΛΛΙΚΗΣ ΣΧΟΛΗΣ ""JEANNE D' ARC""",ΠΕΙΡΑΙΩΣ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 12Α,30-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1, ΓΑΝΘ, ΓΓΑΛ και ΓΓΛγ"
2ο ΓΥΜΝΑΣΙΟ ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ,ΜΕΓΑΛΟΠΟΛΕΩΣ 21,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,ΝΑΙΑΔΩΝ 39,31-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ3 και Γ Θετ.
ΙΔΙΩΤΙΚΟ ΓΥΜΝΑΣΙΟ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΘΗΝΑΙΚΗ ΑΓΩΓΗ & ΠΑΙΔΕΙΑ,ΚΗΦΙΣΙΑΣ,ΕΛΠΙΔΟΣ  4,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΕΟΥ ΨΥΧΙΚΟΥ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΑΓΙΑΣ ΣΟΦΙΑΣ 40,04-11-2020,
