Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
3ο ΓΥΜΝΑΣΙΟ ΚΑΣΤΟΡΙΑΣ - ΓΕΡΜΑΝΟΣ ΚΑΡΑΒΑΓΓΕΛΗΣ,ΚΑΣΤΟΡΙΑΣ,ΑΓ. ΒΑΡΒΑΡΑΣ 13,30-10-2020,"Αναστέλλει τη λειτουργία του το τμήμα Γ2 έως και 28-10-2020, το τμήμα Β3 έως και 29-10-2020 και το τμήμα Β2 έως και 30-10-2020"
12ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΩΝ,ΠΑΤΡΕΩΝ,ΓΟΡΓΟΠΟΤΑΜΟΥ 52  ΚΑΙ ΠΑΠΑΝΑΣΤΑΣΙΟΥ,28-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Α5, Β1, Β4 και Γ4"
5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΙΜΟΥ,ΑΛΙΜΟΥ,ΕΠΤΑΝΗΣΟΥ 2,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2
12ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΑΙΜΙΛΙΑΝΟΥ ΓΡΕΒΕΝΩΝ 5,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
2ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΑΥΡΟΥ,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,Λ. ΕΙΡΗΝΗΣ ΚΑΙ ΜΑΚΕΔΟΝΙΑΣ,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2 έως και 26-10-2020 και το τμήμα Δ1 έως και 30-10-2020
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΚΑΡΥΑΣ,ΝΕΣΤΟΥ,Νέα Καρυά,01-11-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Δ' ΤΑΞΗΣ
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΑΤΡΩΝ,ΠΑΤΡΕΩΝ,ΑΡΟΑΝΙΩΝ ΚΑΙ Θ. ΑΞΑΡΛΙΑΝ 1,28-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Β1, Β2 και Β3"
66ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΑΠΑΤΟΥ  8,29-10-2020,Αναστέλλει τη λειτουργία του το Ολοήμερο 3 έως και 28-10-2020 και η Ε' ΤΑΞΗ έως και 29-10-2020
1ο ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΛΥΚΕΙΟ ΛΙΒΑΔΕΙΑΣ,ΛΕΒΑΔΕΩΝ,ΔΕΛΦΩΝ 24-26,30-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Γ Αισθητικής, Γ Κομμωτικής & Γ Νοσηλευτικής"
28ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΠΑΠΑΓΙΑΝΝΗ ΣΚΟΥΛΑ 10,02-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα ΣΤ2 και Ολοήμερο 4
